filename,filepath,composer
lc4904021.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4904021.mxl,Johannes Brahms
lc4919673.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4919673.mxl,Clara Schumann
lc4919879.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4919879.mxl,Franz Schubert
lc4926375.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4926375.mxl,Johannes Brahms
lc4946175.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4946175.mxl,Johannes Brahms
lc4946239.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4946239.mxl,Johannes Brahms
lc4976769.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4976769.mxl,Robert Schumann
lc4976849.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4976849.mxl,Robert Schumann
lc4978368.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978368.mxl,Robert Schumann
lc4978373.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978373.mxl,Robert Schumann
lc4978379.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978379.mxl,Robert Schumann
lc4978382.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978382.mxl,Robert Schumann
lc4978387.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978387.mxl,Robert Schumann
lc4978390.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978390.mxl,Robert Schumann
lc4978393.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978393.mxl,Robert Schumann
lc4978395.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978395.mxl,Robert Schumann
lc4978396.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978396.mxl,Robert Schumann
